1, 2.26221, 1.86029, EDDI, P32N21BTN77PW, 2022-09-30 16:56:52,
24, 3.19099, 2.90612, EDDI, P32N21BTN77PW, 2022-09-30 16:57:15,
25, 1.7042, 1.42502, EDDI, P32N21BTN77PW, 2022-09-30 16:57:16,
26, 3.15022, 2.87679, EDDI, P32N21BTN77PW, 2022-09-30 16:57:17,
27, 3.09025, 2.82262, EDDI, P32N21BTN77PW, 2022-09-30 16:57:18,
28, 5.88308, 5.6213, EDDI, P32N21BTN77PW, 2022-09-30 16:57:19,
29, 4.59534, 4.33946, EDDI, P32N21BTN77PW, 2022-09-30 16:57:20,
30, 2.22916, 1.97923, EDDI, P32N21BTN77PW, 2022-09-30 16:57:21,
31, 4.39396, 4.15003, EDDI, P32N21BTN77PW, 2022-09-30 16:57:22,
32, 3.72348, 3.48559, EDDI, P32N21BTN77PW, 2022-09-30 16:57:23,
33, 4.26045, 4.02866, EDDI, P32N21BTN77PW, 2022-09-30 16:57:24,
34, 1.72346, 1.49782, EDDI, P32N21BTN77PW, 2022-09-30 16:57:25,
35, 2.42316, 2.20371, EDDI, P32N21BTN77PW, 2022-09-30 16:57:26,
36, 3.29994, 3.08674, EDDI, P32N21BTN77PW, 2022-09-30 16:57:27,
37, 1.9921, 1.78519, EDDI, P32N21BTN77PW, 2022-09-30 16:57:28,
38, 3.21044, 3.00988, EDDI, P32N21BTN77PW, 2022-09-30 16:57:29,
39, 2.95294, 2.75877, EDDI, P32N21BTN77PW, 2022-09-30 16:57:30,
40, 2.64332, 2.45559, EDDI, P32N21BTN77PW, 2022-09-30 16:57:31,
41, 4.35197, 4.17073, EDDI, P32N21BTN77PW, 2022-09-30 16:57:32,
42, 1.88608, 1.71138, EDDI, P32N21BTN77PW, 2022-09-30 16:57:33,
43, 2.35303, 2.18492, EDDI, P32N21BTN77PW, 2022-09-30 16:57:34,
44, 3.81932, 3.65785, EDDI, P32N21BTN77PW, 2022-09-30 16:57:35,
45, 2.04477, 1.88998, EDDI, P32N21BTN77PW, 2022-09-30 16:57:36,
46, 3.29517, 3.14711, EDDI, P32N21BTN77PW, 2022-09-30 16:57:37,
47, 2.55341, 2.41213, EDDI, P32N21BTN77PW, 2022-09-30 16:57:38,
48, 2.87645, 2.742, EDDI, P32N21BTN77PW, 2022-09-30 16:57:39,
49, 2.39544, 2.26787, EDDI, P32N21BTN77PW, 2022-09-30 16:57:40,
50, 2.51914, 2.39849, EDDI, P32N21BTN77PW, 2022-09-30 16:57:41,
51, 2.98466, 2.87098, EDDI, P32N21BTN77PW, 2022-09-30 16:57:42,
52, 0.92074, 0.814083, EDDI, P32N21BTN77PW, 2022-09-30 16:57:43,
53, 3.13003, 3.03044, EDDI, P32N21BTN77PW, 2022-09-30 16:57:44,
54, 3.90872, 3.81624, EDDI, P32N21BTN77PW, 2022-09-30 16:57:45,
55, 3.07843, 2.99311, EDDI, P32N21BTN77PW, 2022-09-30 16:57:46,
56, 2.11838, 2.04027, EDDI, P32N21BTN77PW, 2022-09-30 16:57:47,
57, 2.33334, 2.26249, EDDI, P32N21BTN77PW, 2022-09-30 16:57:48,
58, 3.16096, 3.09741, EDDI, P32N21BTN77PW, 2022-09-30 16:57:49,
59, 1.60448, 1.54828, EDDI, P32N21BTN77PW, 2022-09-30 16:57:50,
60, 3.42656, 3.37775, EDDI, P32N21BTN77PW, 2022-09-30 16:57:51,
61, 1.43838, 1.39702, EDDI, P32N21BTN77PW, 2022-09-30 16:57:52,
62, 4.50394, 4.47006, EDDI, P32N21BTN77PW, 2022-09-30 16:57:53,
63, 3.94256, 3.91621, EDDI, P32N21BTN77PW, 2022-09-30 16:57:54,
64, -0.253478, -0.272241, EDDI, P32N21BTN77PW, 2022-09-30 16:57:55,
65, 4.83617, 4.82503, EDDI, P32N21BTN77PW, 2022-09-30 16:57:56,
66, 2.43807, 2.4346, EDDI, P32N21BTN77PW, 2022-09-30 16:57:57,
67, 3.74972, 3.75398, EDDI, P32N21BTN77PW, 2022-09-30 16:57:58,
68, 4.44892, 4.46094, EDDI, P32N21BTN77PW, 2022-09-30 16:57:59,
69, 3.52287, 3.54269, EDDI, P32N21BTN77PW, 2022-09-30 16:58:00,
70, 3.10288, 3.13055, EDDI, P32N21BTN77PW, 2022-09-30 16:58:01,
71, 3.38919, 3.42476, EDDI, P32N21BTN77PW, 2022-09-30 16:58:02,
72, 2.90894, 2.95246, EDDI, P32N21BTN77PW, 2022-09-30 16:58:03,
73, 3.1495, 3.201, EDDI, P32N21BTN77PW, 2022-09-30 16:58:04,
74, 2.41889, 2.47842, EDDI, P32N21BTN77PW, 2022-09-30 16:58:05,
75, 4.35907, 4.42668, EDDI, P32N21BTN77PW, 2022-09-30 16:58:06,
76, 2.02844, 2.10417, EDDI, P32N21BTN77PW, 2022-09-30 16:58:07,
77, 1.69787, 1.78176, EDDI, P32N21BTN77PW, 2022-09-30 16:58:08,
78, 4.74404, 4.83614, EDDI, P32N21BTN77PW, 2022-09-30 16:58:09,
79, 5.06724, 5.16759, EDDI, P32N21BTN77PW, 2022-09-30 16:58:10,
80, 2.93482, 3.04346, EDDI, P32N21BTN77PW, 2022-09-30 16:58:11,
81, 3.61528, 3.73226, EDDI, P32N21BTN77PW, 2022-09-30 16:58:12,
82, 1.08113, 1.20649, EDDI, P32N21BTN77PW, 2022-09-30 16:58:13,
83, 2.32069, 2.45447, EDDI, P32N21BTN77PW, 2022-09-30 16:58:14,
84, 1.98692, 2.12918, EDDI, P32N21BTN77PW, 2022-09-30 16:58:15,
85, 1.87769, 2.02845, EDDI, P32N21BTN77PW, 2022-09-30 16:58:16,
86, 0.674049, 0.833364, EDDI, P32N21BTN77PW, 2022-09-30 16:58:17,
87, 1.93498, 2.10289, EDDI, P32N21BTN77PW, 2022-09-30 16:58:18,
88, 2.69164, 2.86819, EDDI, P32N21BTN77PW, 2022-09-30 16:58:19,
89, 1.62913, 1.81435, EDDI, P32N21BTN77PW, 2022-09-30 16:58:20,
90, 2.99754, 3.19148, EDDI, P32N21BTN77PW, 2022-09-30 16:58:21,
91, 3.03429, 3.237, EDDI, P32N21BTN77PW, 2022-09-30 16:58:22,
92, 4.0603, 4.27181, EDDI, P32N21BTN77PW, 2022-09-30 16:58:23,
93, 1.68779, 1.90814, EDDI, P32N21BTN77PW, 2022-09-30 16:58:24,
94, 3.10379, 3.33303, EDDI, P32N21BTN77PW, 2022-09-30 16:58:25,
95, 2.69263, 2.9308, EDDI, P32N21BTN77PW, 2022-09-30 16:58:26,
96, 4.45909, 4.70622, EDDI, P32N21BTN77PW, 2022-09-30 16:58:27,
97, 3.34038, 3.59652, EDDI, P32N21BTN77PW, 2022-09-30 16:58:28,
98, 2.80642, 3.07161, EDDI, P32N21BTN77PW, 2022-09-30 16:58:29,
99, 1.21547, 1.48975, EDDI, P32N21BTN77PW, 2022-09-30 16:58:30,
100, 3.00121, 3.28461, EDDI, P32N21BTN77PW, 2022-09-30 16:58:31,
101, 2.97466, 3.26723, EDDI, P32N21BTN77PW, 2022-09-30 16:58:32,
102, 1.76609, 2.06786, EDDI, P32N21BTN77PW, 2022-09-30 16:58:33,
103, 2.92537, 3.23639, EDDI, P32N21BTN77PW, 2022-09-30 16:58:34,
104, 3.11461, 3.43492, EDDI, P32N21BTN77PW, 2022-09-30 16:58:35,
105, 0.745631, 1.07526, EDDI, P32N21BTN77PW, 2022-09-30 16:58:36,
106, 2.14452, 2.48351, EDDI, P32N21BTN77PW, 2022-09-30 16:58:37,
107, 2.8186, 3.167, EDDI, P32N21BTN77PW, 2022-09-30 16:58:38,
108, 3.04729, 3.40513, EDDI, P32N21BTN77PW, 2022-09-30 16:58:39,
109, 3.0159, 3.38322, EDDI, P32N21BTN77PW, 2022-09-30 16:58:40,
110, 2.30675, 2.68358, EDDI, P32N21BTN77PW, 2022-09-30 16:58:41,
111, 2.01288, 2.39926, EDDI, P32N21BTN77PW, 2022-09-30 16:58:42,
112, 2.38115, 2.77713, EDDI, P32N21BTN77PW, 2022-09-30 16:58:43,
113, 1.50388, 1.90948, EDDI, P32N21BTN77PW, 2022-09-30 16:58:44,
114, 1.97206, 2.38732, EDDI, P32N21BTN77PW, 2022-09-30 16:58:45,
115, 0.592991, 1.01796, EDDI, P32N21BTN77PW, 2022-09-30 16:58:46,
116, 2.78102, 3.21572, EDDI, P32N21BTN77PW, 2022-09-30 16:58:47,
117, 3.86114, 4.30562, EDDI, P32N21BTN77PW, 2022-09-30 16:58:48,
118, 3.65513, 4.10942, EDDI, P32N21BTN77PW, 2022-09-30 16:58:49,
119, 2.57632, 3.04046, EDDI, P32N21BTN77PW, 2022-09-30 16:58:50,
120, 3.63568, 4.1097, EDDI, P32N21BTN77PW, 2022-09-30 16:58:51,
121, -0.0971327, 0.386803, EDDI, P32N21BTN77PW, 2022-09-30 16:58:52,
122, 2.20568, 2.69957, EDDI, P32N21BTN77PW, 2022-09-30 16:58:53,
123, 2.10715, 2.61103, EDDI, P32N21BTN77PW, 2022-09-30 16:58:54,
124, 2.43572, 2.94962, EDDI, P32N21BTN77PW, 2022-09-30 16:58:55,
125, 3.53853, 4.06249, EDDI, P32N21BTN77PW, 2022-09-30 16:58:56,
126, 0.752017, 1.28607, EDDI, P32N21BTN77PW, 2022-09-30 16:58:57,
127, 1.64435, 2.18852, EDDI, P32N21BTN77PW, 2022-09-30 16:58:58,
128, 3.99066, 4.545, EDDI, P32N21BTN77PW, 2022-09-30 16:58:59,
129, 3.06039, 3.62492, EDDI, P32N21BTN77PW, 2022-09-30 16:59:00,
130, 3.40722, 3.98197, EDDI, P32N21BTN77PW, 2022-09-30 16:59:01,
131, 3.97002, 4.55503, EDDI, P32N21BTN77PW, 2022-09-30 16:59:02,
132, 2.54299, 3.1383, EDDI, P32N21BTN77PW, 2022-09-30 16:59:03,
133, 3.31019, 3.91582, EDDI, P32N21BTN77PW, 2022-09-30 16:59:04,
134, 2.07807, 2.69406, EDDI, P32N21BTN77PW, 2022-09-30 16:59:05,
135, 1.98131, 2.6077, EDDI, P32N21BTN77PW, 2022-09-30 16:59:06,
136, 3.55194, 4.18875, EDDI, P32N21BTN77PW, 2022-09-30 16:59:07,
137, 2.2739, 2.92115, EDDI, P32N21BTN77PW, 2022-09-30 16:59:08,
138, 2.23102, 2.88876, EDDI, P32N21BTN77PW, 2022-09-30 16:59:09,
139, 3.61092, 4.27918, EDDI, P32N21BTN77PW, 2022-09-30 16:59:10,
140, 4.29623, 4.97504, EDDI, P32N21BTN77PW, 2022-09-30 16:59:11,
141, 4.37867, 5.06806, EDDI, P32N21BTN77PW, 2022-09-30 16:59:12,
142, 1.19393, 1.89393, EDDI, P32N21BTN77PW, 2022-09-30 16:59:13,
143, 0.97345, 1.68409, EDDI, P32N21BTN77PW, 2022-09-30 16:59:14,
144, 2.73597, 3.45728, EDDI, P32N21BTN77PW, 2022-09-30 16:59:15,
145, 0.502726, 1.23473, EDDI, P32N21BTN77PW, 2022-09-30 16:59:16,
146, 1.50966, 2.2524, EDDI, P32N21BTN77PW, 2022-09-30 16:59:17,
147, 1.86293, 2.61642, EDDI, P32N21BTN77PW, 2022-09-30 16:59:18,
148, 3.06018, 3.82446, EDDI, P32N21BTN77PW, 2022-09-30 16:59:19,
149, 1.7628, 2.53789, EDDI, P32N21BTN77PW, 2022-09-30 16:59:20,
150, 2.27703, 3.06297, EDDI, P32N21BTN77PW, 2022-09-30 16:59:21,
151, 1.17446, 1.97127, EDDI, P32N21BTN77PW, 2022-09-30 16:59:22,
152, 2.06817, 2.87589, EDDI, P32N21BTN77PW, 2022-09-30 16:59:23,
153, 2.11134, 2.92998, EDDI, P32N21BTN77PW, 2022-09-30 16:59:24,
154, 3.19033, 4.01993, EDDI, P32N21BTN77PW, 2022-09-30 16:59:25,
155, 1.15573, 1.99631, EDDI, P32N21BTN77PW, 2022-09-30 16:59:26,
156, 3.4502, 4.30179, EDDI, P32N21BTN77PW, 2022-09-30 16:59:27,
157, 1.08133, 1.94395, EDDI, P32N21BTN77PW, 2022-09-30 16:59:28,
158, 2.2547, 3.12839, EDDI, P32N21BTN77PW, 2022-09-30 16:59:29,
159, 0.889739, 1.77451, EDDI, P32N21BTN77PW, 2022-09-30 16:59:30,
160, 2.2528, 3.14869, EDDI, P32N21BTN77PW, 2022-09-30 16:59:31,
161, 2.00272, 2.90974, EDDI, P32N21BTN77PW, 2022-09-30 16:59:32,
162, 2.7466, 3.6648, EDDI, P32N21BTN77PW, 2022-09-30 16:59:33,
163, 2.96684, 3.89623, EDDI, P32N21BTN77PW, 2022-09-30 16:59:34,
164, 1.66922, 2.60982, EDDI, P32N21BTN77PW, 2022-09-30 16:59:35,
165, 1.94556, 2.8974, EDDI, P32N21BTN77PW, 2022-09-30 16:59:36,
166, 1.44378, 2.40689, EDDI, P32N21BTN77PW, 2022-09-30 16:59:37,
167, 2.24155, 3.21594, EDDI, P32N21BTN77PW, 2022-09-30 16:59:38,
168, 1.43773, 2.42343, EDDI, P32N21BTN77PW, 2022-09-30 16:59:39,
169, 1.81019, 2.80722, EDDI, P32N21BTN77PW, 2022-09-30 16:59:40,
170, 3.53207, 4.54046, EDDI, P32N21BTN77PW, 2022-09-30 16:59:41,
171, 3.91249, 4.93226, EDDI, P32N21BTN77PW, 2022-09-30 16:59:42,
172, 1.85732, 2.88849, EDDI, P32N21BTN77PW, 2022-09-30 16:59:43,
173, 1.05828, 2.10089, EDDI, P32N21BTN77PW, 2022-09-30 16:59:44,
174, 1.33828, 2.39233, EDDI, P32N21BTN77PW, 2022-09-30 16:59:45,
175, 2.07275, 3.13827, EDDI, P32N21BTN77PW, 2022-09-30 16:59:46,
176, 2.71793, 3.79494, EDDI, P32N21BTN77PW, 2022-09-30 16:59:47,
177, 1.54957, 2.63809, EDDI, P32N21BTN77PW, 2022-09-30 16:59:48,
178, 1.48458, 2.58462, EDDI, P32N21BTN77PW, 2022-09-30 16:59:49,
179, 3.63466, 4.74626, EDDI, P32N21BTN77PW, 2022-09-30 16:59:50,
180, 3.21463, 4.33781, EDDI, P32N21BTN77PW, 2022-09-30 16:59:51,
181, 0.33671, 1.47148, EDDI, P32N21BTN77PW, 2022-09-30 16:59:52,
182, 2.18471, 3.33109, EDDI, P32N21BTN77PW, 2022-09-30 16:59:53,
183, 1.99942, 3.15743, EDDI, P32N21BTN77PW, 2022-09-30 16:59:54,
184, 2.71986, 3.88952, EDDI, P32N21BTN77PW, 2022-09-30 16:59:55,
185, 2.89, 4.07133, EDDI, P32N21BTN77PW, 2022-09-30 16:59:56,
186, 3.38071, 4.57373, EDDI, P32N21BTN77PW, 2022-09-30 16:59:57,
187, 2.04669, 3.25142, EDDI, P32N21BTN77PW, 2022-09-30 16:59:58,
188, 3.36743, 4.58387, EDDI, P32N21BTN77PW, 2022-09-30 16:59:59,
189, 2.84599, 4.07418, EDDI, P32N21BTN77PW, 2022-09-30 17:00:00,
190, 1.22829, 2.46824, EDDI, P32N21BTN77PW, 2022-09-30 17:00:01,
191, 0.615086, 1.86681, EDDI, P32N21BTN77PW, 2022-09-30 17:00:02,
192, 1.48352, 2.74704, EDDI, P32N21BTN77PW, 2022-09-30 17:00:03,
193, 1.72979, 3.00511, EDDI, P32N21BTN77PW, 2022-09-30 17:00:04,
194, 2.54654, 3.83369, EDDI, P32N21BTN77PW, 2022-09-30 17:00:05,
195, 1.84125, 3.14023, EDDI, P32N21BTN77PW, 2022-09-30 17:00:06,
196, 1.89048, 3.20132, EDDI, P32N21BTN77PW, 2022-09-30 17:00:07,
197, 3.47579, 4.7985, EDDI, P32N21BTN77PW, 2022-09-30 17:00:08,
198, 0.993336, 2.32793, EDDI, P32N21BTN77PW, 2022-09-30 17:00:09,
199, 2.3133, 3.6598, EDDI, P32N21BTN77PW, 2022-09-30 17:00:10,
200, 2.51738, 3.8758, EDDI, P32N21BTN77PW, 2022-09-30 17:00:11,
201, 0.896161, 2.2665, EDDI, P32N21BTN77PW, 2022-09-30 17:00:12,
202, 1.10118, 2.48347, EDDI, P32N21BTN77PW, 2022-09-30 17:00:13,
203, 0.377262, 1.7715, EDDI, P32N21BTN77PW, 2022-09-30 17:00:14,
204, 2.23787, 3.64408, EDDI, P32N21BTN77PW, 2022-09-30 17:00:15,
205, 0.398739, 1.81693, EDDI, P32N21BTN77PW, 2022-09-30 17:00:16,
206, 1.59989, 3.03007, EDDI, P32N21BTN77PW, 2022-09-30 17:00:17,
207, 0.734243, 2.17643, EDDI, P32N21BTN77PW, 2022-09-30 17:00:18,
208, 1.79814, 3.25234, EDDI, P32N21BTN77PW, 2022-09-30 17:00:19,
209, 2.65042, 4.11665, EDDI, P32N21BTN77PW, 2022-09-30 17:00:20,
210, 1.06742, 2.54569, EDDI, P32N21BTN77PW, 2022-09-30 17:00:21,
211, 2.53307, 4.02339, EDDI, P32N21BTN77PW, 2022-09-30 17:00:22,
212, 0.762736, 2.26512, EDDI, P32N21BTN77PW, 2022-09-30 17:00:23,
213, 2.78642, 4.30087, EDDI, P32N21BTN77PW, 2022-09-30 17:00:24,
214, 2.60509, 4.13162, EDDI, P32N21BTN77PW, 2022-09-30 17:00:25,
215, 0.51497, 2.05359, EDDI, P32N21BTN77PW, 2022-09-30 17:00:26,
216, 2.04908, 3.59981, EDDI, P32N21BTN77PW, 2022-09-30 17:00:27,
217, 2.67102, 4.23385, EDDI, P32N21BTN77PW, 2022-09-30 17:00:28,
218, 2.22389, 3.79884, EDDI, P32N21BTN77PW, 2022-09-30 17:00:29,
219, 1.53638, 3.12346, EDDI, P32N21BTN77PW, 2022-09-30 17:00:30,
220, 0.410865, 2.01007, EDDI, P32N21BTN77PW, 2022-09-30 17:00:31,
221, 0.711128, 2.32247, EDDI, P32N21BTN77PW, 2022-09-30 17:00:32,
222, 2.55848, 4.18198, EDDI, P32N21BTN77PW, 2022-09-30 17:00:33,
223, 1.26297, 2.89862, EDDI, P32N21BTN77PW, 2022-09-30 17:00:34,
224, 1.29618, 2.94399, EDDI, P32N21BTN77PW, 2022-09-30 17:00:35,
225, 2.0248, 3.68478, EDDI, P32N21BTN77PW, 2022-09-30 17:00:36,
226, -0.614646, 1.05751, EDDI, P32N21BTN77PW, 2022-09-30 17:00:37,
227, 1.44502, 3.12935, EDDI, P32N21BTN77PW, 2022-09-30 17:00:38,
228, 1.07984, 2.77636, EDDI, P32N21BTN77PW, 2022-09-30 17:00:39,
229, 0.891802, 2.60051, EDDI, P32N21BTN77PW, 2022-09-30 17:00:40,
230, -0.271328, 1.44957, EDDI, P32N21BTN77PW, 2022-09-30 17:00:41,
231, 0.827984, 2.56108, EDDI, P32N21BTN77PW, 2022-09-30 17:00:42,
232, 1.90144, 3.64674, EDDI, P32N21BTN77PW, 2022-09-30 17:00:43,
233, 0.722049, 2.47956, EDDI, P32N21BTN77PW, 2022-09-30 17:00:44,
234, 0.221218, 1.99094, EDDI, P32N21BTN77PW, 2022-09-30 17:00:45,
235, 3.19527, 4.9772, EDDI, P32N21BTN77PW, 2022-09-30 17:00:46,
236, 3.22376, 5.01791, EDDI, P32N21BTN77PW, 2022-09-30 17:00:47,
237, -0.628432, 1.17793, EDDI, P32N21BTN77PW, 2022-09-30 17:00:48,
238, 2.03195, 3.85053, EDDI, P32N21BTN77PW, 2022-09-30 17:00:49,
239, 1.14761, 2.97842, EDDI, P32N21BTN77PW, 2022-09-30 17:00:50,
240, 2.72995, 4.57298, EDDI, P32N21BTN77PW, 2022-09-30 17:00:51,
241, 3.49209, 5.34734, EDDI, P32N21BTN77PW, 2022-09-30 17:00:52,
242, 0.793366, 2.66084, EDDI, P32N21BTN77PW, 2022-09-30 17:00:53,
243, 0.371796, 2.2515, EDDI, P32N21BTN77PW, 2022-09-30 17:00:54,
244, -0.708103, 1.18382, EDDI, P32N21BTN77PW, 2022-09-30 17:00:55,
245, 1.15048, 3.05463, EDDI, P32N21BTN77PW, 2022-09-30 17:00:56,
246, 1.59101, 3.50738, EDDI, P32N21BTN77PW, 2022-09-30 17:00:57,
247, 1.25348, 3.18208, EDDI, P32N21BTN77PW, 2022-09-30 17:00:58,
248, 2.26864, 4.20946, EDDI, P32N21BTN77PW, 2022-09-30 17:00:59,
249, 2.49469, 4.44773, EDDI, P32N21BTN77PW, 2022-09-30 17:01:00,
250, 0.241124, 2.20638, EDDI, P32N21BTN77PW, 2022-09-30 17:01:01,
251, 0.788244, 2.76572, EDDI, P32N21BTN77PW, 2022-09-30 17:01:02,
252, 3.94241, 5.9321, EDDI, P32N21BTN77PW, 2022-09-30 17:01:02,
253, 1.76311, 3.76501, EDDI, P32N21BTN77PW, 2022-09-30 17:01:04,
254, 1.52583, 3.53994, EDDI, P32N21BTN77PW, 2022-09-30 17:01:04,
255, 0.00253893, 2.02885, EDDI, P32N21BTN77PW, 2022-09-30 17:01:06,
256, -1.11599, 0.922513, EDDI, P32N21BTN77PW, 2022-09-30 17:01:07,
257, 1.68753, 3.73823, EDDI, P32N21BTN77PW, 2022-09-30 17:01:08,
258, 2.19634, 4.25924, EDDI, P32N21BTN77PW, 2022-09-30 17:01:09,
259, 0.401662, 2.47674, EDDI, P32N21BTN77PW, 2022-09-30 17:01:10,
260, 0.656579, 2.74383, EDDI, P32N21BTN77PW, 2022-09-30 17:01:11,
261, 2.07346, 4.17289, EDDI, P32N21BTN77PW, 2022-09-30 17:01:12,
262, -0.208706, 1.90289, EDDI, P32N21BTN77PW, 2022-09-30 17:01:13,
263, -0.946778, 1.17698, EDDI, P32N21BTN77PW, 2022-09-30 17:01:14,
264, -1.8292, 0.306717, EDDI, P32N21BTN77PW, 2022-09-30 17:01:15,
265, -0.259649, 1.88841, EDDI, P32N21BTN77PW, 2022-09-30 17:01:16,
266, 0.291162, 2.45136, EDDI, P32N21BTN77PW, 2022-09-30 17:01:17,
267, 1.35391, 3.52624, EDDI, P32N21BTN77PW, 2022-09-30 17:01:18,
268, -1.88552, 0.298935, EDDI, P32N21BTN77PW, 2022-09-30 17:01:19,
269, 0.55477, 2.75135, EDDI, P32N21BTN77PW, 2022-09-30 17:01:20,
270, 0.98779, 3.19647, EDDI, P32N21BTN77PW, 2022-09-30 17:01:21,
271, 1.47847, 3.69925, EDDI, P32N21BTN77PW, 2022-09-30 17:01:22,
272, 0.668752, 2.90162, EDDI, P32N21BTN77PW, 2022-09-30 17:01:23,
273, 1.89939, 4.14434, EDDI, P32N21BTN77PW, 2022-09-30 17:01:24,
274, 0.514149, 2.77117, EDDI, P32N21BTN77PW, 2022-09-30 17:01:25,
275, 0.649489, 2.91856, EDDI, P32N21BTN77PW, 2022-09-30 17:01:26,
276, -0.609606, 1.67152, EDDI, P32N21BTN77PW, 2022-09-30 17:01:27,
277, -1.36787, 0.92529, EDDI, P32N21BTN77PW, 2022-09-30 17:01:28,
278, 0.888094, 3.19328, EDDI, P32N21BTN77PW, 2022-09-30 17:01:29,
279, 1.49631, 3.81351, EDDI, P32N21BTN77PW, 2022-09-30 17:01:30,
280, -0.539092, 1.7901, EDDI, P32N21BTN77PW, 2022-09-30 17:01:31,
281, 1.08702, 3.4282, EDDI, P32N21BTN77PW, 2022-09-30 17:01:32,
282, 0.157604, 2.51076, EDDI, P32N21BTN77PW, 2022-09-30 17:01:33,
283, -0.407028, 1.95809, EDDI, P32N21BTN77PW, 2022-09-30 17:01:34,
284, 1.09354, 3.47061, EDDI, P32N21BTN77PW, 2022-09-30 17:01:35,
285, 0.449833, 2.83883, EDDI, P32N21BTN77PW, 2022-09-30 17:01:36,
286, 0.950107, 3.35103, EDDI, P32N21BTN77PW, 2022-09-30 17:01:37,
287, 1.38008, 3.79291, EDDI, P32N21BTN77PW, 2022-09-30 17:01:38,
288, -0.73249, 1.69223, EDDI, P32N21BTN77PW, 2022-09-30 17:01:39,
289, 2.19636, 4.63295, EDDI, P32N21BTN77PW, 2022-09-30 17:01:40,
290, 1.69277, 4.14122, EDDI, P32N21BTN77PW, 2022-09-30 17:01:41,
291, 1.48737, 3.94766, EDDI, P32N21BTN77PW, 2022-09-30 17:01:42,
292, 0.50548, 2.9776, EDDI, P32N21BTN77PW, 2022-09-30 17:01:43,
293, 0.689747, 3.17368, EDDI, P32N21BTN77PW, 2022-09-30 17:01:44,
294, 0.169933, 2.66566, EDDI, P32N21BTN77PW, 2022-09-30 17:01:45,
295, 0.223572, 2.73107, EDDI, P32N21BTN77PW, 2022-09-30 17:01:46,
296, 0.244662, 2.76392, EDDI, P32N21BTN77PW, 2022-09-30 17:01:47,
297, 0.758118, 3.28911, EDDI, P32N21BTN77PW, 2022-09-30 17:01:48,
298, 1.36699, 3.90971, EDDI, P32N21BTN77PW, 2022-09-30 17:01:49,
299, 1.36106, 3.91548, EDDI, P32N21BTN77PW, 2022-09-30 17:01:50,
300, -0.733781, 1.83232, EDDI, P32N21BTN77PW, 2022-09-30 17:01:51,
301, -1.53463, 1.04314, EDDI, P32N21BTN77PW, 2022-09-30 17:01:52,
302, -0.262965, 2.32645, EDDI, P32N21BTN77PW, 2022-09-30 17:01:53,
303, -0.351752, 2.24929, EDDI, P32N21BTN77PW, 2022-09-30 17:01:54,
304, 0.629156, 3.2418, EDDI, P32N21BTN77PW, 2022-09-30 17:01:55,
305, 0.965127, 3.58935, EDDI, P32N21BTN77PW, 2022-09-30 17:01:56,
306, -0.849221, 1.78656, EDDI, P32N21BTN77PW, 2022-09-30 17:01:57,
307, 0.880374, 3.5277, EDDI, P32N21BTN77PW, 2022-09-30 17:01:58,
308, 0.220985, 2.87983, EDDI, P32N21BTN77PW, 2022-09-30 17:01:59,
309, -0.100303, 2.57004, EDDI, P32N21BTN77PW, 2022-09-30 17:02:00,
310, 0.0452549, 2.72707, EDDI, P32N21BTN77PW, 2022-09-30 17:02:01,
